home,away,score,year
Крылья Советов,Локомотив М,1 : 2,2019/2020
Крылья Советов,Краснодар,0 : 0,2019/2020
Крылья Советов,ЦСКА,2 : 0,2019/2020
Крылья Советов,Ростов,0 : 0,2019/2020
Крылья Советов,Динамо М,0 : 0,2019/2020
Крылья Советов,Спартак М,1 : 2,2019/2020
Крылья Советов,Арсенал,2 : 3,2019/2020
Крылья Советов,Уфа,0 : 1,2019/2020
Крылья Советов,Рубин,0 : 0,2019/2020
Крылья Советов,Урал,2 : 3,2019/2020
Крылья Советов,Сочи,3 : 0,2019/2020
Крылья Советов,Ахмат,2 : 4,2019/2020
Крылья Советов,Тамбов,2 : 0,2019/2020
Крылья Советов,Оренбург,1 : 1,2019/2020
Оренбург,Зенит,0 : 2,2019/2020
Оренбург,Локомотив М,2 : 3,2019/2020
Оренбург,Краснодар,0 : 3,2019/2020
Оренбург,ЦСКА,0 : 4,2019/2020
Оренбург,Ростов,0 : 0,2019/2020
Оренбург,Динамо М,2 : 0,2019/2020
Оренбург,Спартак М,1 : 3,2019/2020
Оренбург,Арсенал,2 : 0,2019/2020
Оренбург,Уфа,0 : 0,2019/2020
Оренбург,Рубин,2 : 1,2019/2020
Оренбург,Урал,0 : 3,2019/2020
Оренбург,Сочи,1 : 1,2019/2020
Оренбург,Ахмат,1 : 2,2019/2020
Оренбург,Тамбов,2 : 2,2019/2020
Оренбург,Крылья Советов,0 : 1,2019/2020
Зенит,Локомотив М,0 : 0,2018/2019
Зенит,Краснодар,1 : 1,2018/2019
Зенит,ЦСКА,1 : 1,2018/2019
Зенит,Ростов,6 : 1,2018/2019
Зенит,Динамо М,3 : 0,2018/2019
Зенит,Спартак М,1 : 0,2018/2019
Зенит,Арсенал,3 : 1,2018/2019
Зенит,Уфа,0 : 0,2018/2019
Зенит,Рубин,5 : 0,2018/2019
Зенит,Урал,7 : 1,2018/2019
Зенит,Сочи,2 : 1,2018/2019
Зенит,Ахмат,0 : 0,2018/2019
Зенит,Тамбов,2 : 1,2018/2019
Зенит,Крылья Советов,2 : 1,2018/2019
Зенит,Оренбург,4 : 1,2018/2019
Локомотив М,Зенит,1 : 0,2018/2019
Локомотив М,Краснодар,1 : 1,2018/2019
Локомотив М,ЦСКА,2 : 1,2018/2019
Локомотив М,Ростов,1 : 2,2018/2019
Локомотив М,Динамо М,1 : 2,2018/2019
Локомотив М,Спартак М,0 : 3,2018/2019
Локомотив М,Арсенал,2 : 1,2018/2019
Локомотив М,Уфа,1 : 1,2018/2019
Локомотив М,Рубин,1 : 1,2018/2019
Локомотив М,Урал,4 : 0,2018/2019
Локомотив М,Сочи,0 : 0,2018/2019
Локомотив М,Ахмат,1 : 0,2018/2019
Локомотив М,Тамбов,2 : 1,2018/2019
Локомотив М,Крылья Советов,1 : 1,2018/2019
Локомотив М,Оренбург,1 : 0,2018/2019
Краснодар,Зенит,2 : 4,2018/2019
Краснодар,Локомотив М,1 : 1,2018/2019
